country,continent,sovereignty_date,sovereignty_date_precision,sovereignty_date_raw,last_subordination_date,last_subordination_date_precision,last_subordination_date_raw,previous_power,notes,capital
Germany,Europe,1867-07-01,full,1 July 1867,1991-03-15,full,15 Mar 1991,West Berlin World War II Allies ( Allied-occupied Germany ): United Kingdom United States Soviet Union France,"1990–Present: Federal Republic of Germany (Become fully sovereign after reunification with the German Democratic Republic on 15 March 1991, after the Treaty on the Final Settlement with Respect to Germany came into effect). 1949–1990: Federal Republic of Germany ( West Berlin was an exclave of West Germany). 1945–1949: Germany occupied between the Allies (USA, UK, France and Soviet Union) (The occupation lasted from 1945 until the ratification of Bonn–Paris conventions in 1955). 1933–1945: Nazi Germany 1918–1933: Weimar Germany (a federation ) 1878–1918: German Empire (Prussia Unified in a federal monarchy with all state kingdoms of Germany, excluding Austria). 1867–1878: North German Confederation , new sovereign state and federal union of 22 German-speaking states (previously sovereign states).",Berlin
Greece,Europe,1822-03-25,full,25 Mar 1822,1945,year,1945,Bulgaria Nazi Germany Italy,"1974–Present: Third Hellenic Republic 1967–1974: : Greek Dictatorship 1944–1973: Kingdom of Greece 1941–1944: Hellenic State , a government-in-exile during the axis occupation, and member of the allies during WWII. 1935–1941: Kingdom of Greece 1924–1935: Second Hellenic Republic 1832–1924: Kingdom of Greece 1822–1832: After the War of Independence Greece declared independent as the First Hellenic Republic (New State)",Athens
Grenada,The Americas,1974-02-07,full,7 Feb 1974,1974-02-07,full,7 Feb 1974,United Kingdom,"1974–present: Grenada , a monarchy in personal union with the United Kingdom",St. George's
Ghana,Africa,1957-05-06,full,6 May 1957,1957-05-06,full,6 May 1957,United Kingdom,"1960–Present: Republic of Ghana 1957-1960: Dominion of Ghana , a monarchy in personal union with the United Kingdom",Accra
Guatemala,The Americas,1839-04-17,full,17 Apr 1839,1839-04-17,full,17 Apr 1839,Federal Republic of Central America,1922–present: Republic of Guatemala 1921–1922: Federated state of the Federal Republic of Central America 1839–1921: Republic of Guatemala,Guatemala City
Guinea,Africa,1958-10-02,full,2 Oct 1958,1958-10-02,full,2 Oct 1958,France,1958–present: Republic of Guinea,Conakry
Guinea-Bissau,Africa,1973-09-24,full,24 Sep 1973,1974-09-10,full,10 Sep 1974,Portugal,1973–present: Republic of Guinea-Bissau,Bissau
Guyana,The Americas,1966-05-26,full,26 May 1966,1966-05-26,full,26 May 1966,United Kingdom,"1970–present: Co-operative Republic of Guyana 1966–1970: Guyana , a monarchy in personal union with the United Kingdom",Georgetown
Haiti,The Americas,1804-01-01,full,1 Jan 1804,1804-01-01,full,1 Jan 1804,France,1859–present: Republic of Haiti 1849–1859: Second Empire of Haiti 1820–1849: Republic of Haiti 1811–1820: Kingdom of Haiti 1806–1811: State of Haiti 1804–1806: First Empire of Haiti,Port-au-Prince
Honduras,The Americas,1838-10-26,full,26 October 1838,1924-05,month,May 1924,United States,"1922–present: Republic of Honduras 1921–1922: In union with other Central American states in the Federation of Central America ( confederation ) 1898–1921: Republic of Honduras ( United States has been occupied on the Honduran Land in 1903, 1907, 1911, 1912, 1919, 1924). 1896–1898: In union with other Central American states in the Greater Republic of Central America ( confederation ) 1838 – 1896: Republic of Honduras",Tegucigalpa
Hungary,Europe,1918-11-16,full,16 November 1918 .,1989-10-23,full,1918 23 Oct 1989,Austria-Hungary Soviet Union,1989–present: Third Hungarian Republic 1949–1989: Hungarian People's Republic 1946–1949: Second Hungarian Republic 1920–1946: Kingdom of Hungary 1919–1920: Hungarian Republic 1919: Hungarian Soviet Republic 1918–1919: First Hungarian Republic (New State),Budapest
Iceland,Europe,1918-12-01,full,1 Dec 1918,1918-12-01,full,1 Dec 1918,Denmark United Kingdom Canada United States,"1945–present: Republic of Iceland 1944–1945: Republic of Iceland (occupied by the United States) 1918–1944: Kingdom of Iceland , with a personal union with Denmark (Occupied by the United Kingdom and Canada in 1940 and 1941 and by the United States in 1941–1944)",Reykjavík
India,Asia,1947-08-15,full,15 Aug 1947,1947-08-15,full,15 Aug 1947,United Kingdom,"1950–present: Republic of India , a federation 1947–1950: Union of India , a federation and monarchy in a personal union with the United Kingdom",New Delhi
Indonesia,Asia/Oceania,1945-08-17,full,17 Aug 1945,1949-12-27,full,27 Dec 1949,Netherlands,"1956–present: Republic of Indonesia 1950-1956: Republic of Indonesia , a republic in real union with the Netherlands in the Netherlands-Indonesia Union ( confederation ) 1949-1950: Republic of the United States of Indonesia , a republic in real union with the Netherlands in the Netherlands-Indonesia Union ( confederation ) 1945–1949: Republic of Indonesia , in a National Revolution against Netherlands",Jakarta
Iran,Asia,1501,year,1501,1946-03-02,full,2 March 1946,United Kingdom Soviet Union,"1980–present: Islamic Republic of Iran 1979–1980: Under an Interim Government 1925–1979: Imperial State of Iran ( Anglo-Soviet occupation 1941–1946) (In 1935 the Iranian emperor Reza Shah Pahlavi officially requested that foreigners begin using the endonym ""Iran"" instead of Persia) 1796–1925: Guarded Domains of Persia (Qajar dynasty) 1736–1796: Guarded Domains of Persia (Afsharid dynasty) 1501–1736: Guarded Domains of Persia (Safavid dynasty)",Tehran
Iraq,Asia,1932-10-03,full,3 Oct 1932,2003-05-01,full,1 May 2003,United States United Kingdom Australia Poland,"2003–present: Republic of Iraq , a federation 2003: American Invasion 1968–2003: Iraqi Republic 1958–1968: Iraqi Republic 1958: Arab Federation of Iraq and Jordan 1932–1958: Kingdom of Iraq",Baghdad
Ireland,Europe,1931-12-11,full,11 Dec 1931,1931-12-11,full,11 Dec 1931,United Kingdom,"1948–present: Ireland (additionally described as the Republic of Ireland ) ( Republic of Ireland Act 1948 : Ireland becomes a republic, ending the monarchy). 1937–1948: Ireland ( Constitution of Ireland (1937): name change to ""Ireland"" (Irish: Éire ), the country still was a monarchy in a personal union with Great Britain) 1931–1937: Irish Free State , monarchic state in a personal union with the United Kingdom",Dublin
Israel,Asia,1948-05-14,full,14 May 1948,1948-05-14,full,14 May 1948,United Kingdom,1948–present: State of Israel,Jerusalem
Italy,Europe,1720,year,1720,1945-05-02,full,2 May 1945,Allies of World War II : United Kingdom United States France Canada South Africa Poland Brazil Greece,"1946–present: Italian Republic 1945–1946: Kingdom of Italy 1943–1945: Italian Social Republic , a Nazi Puppet . 1861–1943: Kingdom of Italy (Kingdom of Sardinia expands its territory and annexes the existing states on the Italian peninsula; these states become legally extinct under international law.) 1720–1861: Kingdom of Sardinia",Rome
Ivory Coast,Africa,1960-08-07,full,7 Aug 1960,1960-08-07,full,7 Aug 1960,France,1960–present Republic of Côte d'Ivoire,Abidjan (former capital; still hosts some government offices) and Yamoussoukro ( de jure )
Jamaica,The Americas,1962-08-06,full,6 Aug 1962,1962-08-06,full,6 Aug 1962,United Kingdom,"1962–present: Jamaica , a monarchy in personal union with the United Kingdom",Kingston
Japan,Asia,539,year,539,1952-04-28,full,28 Apr 1952,World War II Allies ( Allied-occupied Japan ) United States ( de facto ),1952–present: Japan (after the Treaty of San Francisco ended postwar occupation). 1945–1952: Allied-occupation of Japan with the United States and the United Kingdom in the post-war period. 1868–1945: Empire of Japan 1603–1868: Tokugawa shogunate 1568–1603: Japanese Azuchi–Momoyama 1336–1568: Ashikaga shogunate 1333–1336: Kenmu Restoration 1185–1333: Kamakura shogunate 794–1185: Heian era 710–794: Nara era 538–710: Asuka era c. 300–578: Kofun era (Era when all Japanese states merged into one in c. 400 AD).,Tokyo
Jordan,Asia,1946-05-25,full,25 May 1946,1958-08-02,full,2 Aug 1958,United Kingdom,1958–present: Hashemite Kingdom of Jordan Feb–Aug 1958: In union with Iraq in the Arab Federation ( confederation ) 1946–1958: Hashemite Kingdom of Jordan,Amman
Kazakhstan,Asia/Europe,1991-12-16,full,16 Dec 1991,1991-12-16,full,16 Dec 1991,Soviet Union,1991–present: Republic of Kazakhstan,Astana
Kenya,Africa,1963-12-12,full,12 Dec 1963,1963-12-12,full,12 Dec 1963,United Kingdom,"1964–present: Republic of Kenya 1963–1964: Kenya , a monarchy in personal union with the United Kingdom",Nairóbi
Kiribati,Oceania,1979-07-12,full,12 July 1979,1979-07-12,full,12 July 1979,United Kingdom,1979–present: Republic of Kiribati,South Tarawa
North Korea,Asia,1948-09-09,full,9 Sep 1948,1948-09-09,full,9 Sep 1948,Soviet Union,1948–present: Democratic People's Republic of Korea (New State),Pyongyang
South Korea,Asia,1948-08-15,full,15 Aug 1948,1948-08-15,full,15 Aug 1948,United States,1987–present: Republic of Korea (Sixth) 1981–1987: Fifth Republic of Korea 1972–1981: Fourth Republic of Korea 1963–1972: Third Republic of Korea 1961–1963: Supreme Council for National Reconstruction 1960–1961: Second Republic of Korea 1948–1960: First Republic of Korea (New State),Seoul
Kosovo,Europe,2008-02-17,full,17 February 2008,2008-02-17,full,17 February 2008,Serbia United Nations Administered Kosovo,2008–present: Republic of Kosovo,Pristina
Kuwait,Asia,1961-06-19,full,19 June 1961,1991-02,month,Feb 1991,Iraq,"1991–present: State of Kuwait 1990–1991: Kuwait Governorate , governorate of Iraq 1990: Republic of Kuwait 1961–1990: State of Kuwait",Kuwait City
Kyrgyzstan,Asia,1991-08-31,full,31 Aug 1991,1991-08-31,full,31 Aug 1991,Soviet Union,"1991–present: Kyrgyz Republic (the name ""Republic of Kyrgyzstan"" was adopted in 1990, changed to current in 1993)",Bishkek
Laos,Asia,1953-10-22,full,22 Oct 1953,1953-10-22,full,22 Oct 1953,France,1975–present: Lao People's Democratic Republic 1953–1975: Kingdom of Laos,Vientiane
Latvia,Europe,1918-11-18,full,18 Nov 1918,1990-05-04,full,4 May 1990,Soviet Union,1991–present: Republic of Latvia 1940–1991: Latvian diplomatic service in exile (Occupation by Germany (1940–1944) and later by the Soviet Union (1944–1991)) 1918–1940: Republic of Latvia,Riga
Lebanon,Asia,1943-11-22,full,22 Nov 1943,1946-12-31,full,31 Dec 1946,France,1943–present: Lebanese Republic,Beirut
Lesotho,Africa,1966-10-04,full,4 Oct 1966,1966-10-04,full,4 Oct 1966,United Kingdom,1966–present: Kingdom of Lesotho,Maseru
Liberia,Africa,1847-07-26,full,26 July 1847,1847-07-26,full,26 July 1847,American Colonization Society,1847–present: Republic of Liberia (1980-1984: People's Redemption Council ),Monrovia
Libya,Africa,1949-03-01,full,1 Mar 1949,1951-12-24,full,24 Dec 1951,France United Kingdom,"2011–present: State of Libya (Sometimes refer to as Libya) 1977–2011: Great Socialist People's Libyan Arab Jamahiriya (before 1986 without the word ""Great"" in the full name of the country) 1969–1977: Libyan Arab Republic 1963–1969: Kingdom of Libya 1951–1963: United Kingdom of Libya 1949-1951: Cyrenaica Emirate",Tripoli
Liechtenstein,Europe,1806-08-06,full,6 August 1806,1806-08-06,full,6 August 1806,Holy Roman Empire,1806–present: Principality of Liechtenstein,Vaduz
Lithuania,Europe,1918-02-16,full,16 Feb 1918,1990-03-11,full,11 Mar 1990,Soviet Union,1991–present: Republic of Lithuania 1940–1991: Lithuanian Diplomatic Service (Occupation by Germany (1940–1944) and later by the Soviet Union (1944–1991) 1918–1940: Republic of Lithuania 1918: Kingdom of Lithuania,Vilnius
Luxembourg,Europe,1815-03-15,full,15 Mar 1815,1945,year,1945,Germany,"1890–present: Grand Duchy of Luxembourg , independent state with its own dynasty 1866–1890: Grand Duchy of Luxembourg , independent state in personal union with Netherlands 1815–1866: Grand Duchy of Luxembourg , independent from France in 1815 and in union with other 37 sovereign states in the German Confederation , but also in personal union with Netherlands",Luxembourg
Madagascar,Africa,1960-06-26,full,26 June 1960,1960-06-26,full,26 June 1960,France,2014–present: Republic of Madagascar (Fourth Republic) 2009–2014: High Transitional Authority 1992–2009: Republic of Madagascar (Third Republic) 1975–1992: Democratic Republic of Madagascar 1960–1975: Malagasy Republic,Antananarivo
Malawi,Africa,1964-07-06,full,6 July 1964,1964-07-06,full,6 July 1964,United Kingdom,1964–present: Republic of Malawi,Lilongwe
Malaysia,Asia,1957-08-31,full,31 Aug 1957,1957-08-31,full,31 Aug 1957,United Kingdom,"1963–present: Malaysia , a federation 1957-1963: Federation of Malaya Note: The Federation of Malaya gained independence in 1957; in 1963 it added territories of Sabah , Sarawak and Singapore , and changed its name to Malaysia (a federal state ). Singapore became independent in 1965.","Kuala Lumpur ( de jure , legislative and royal) and Putrajaya (administrative and judicial)"
Maldives,Asia,1965-07-26,full,26 July 1965,1965-07-26,full,26 July 1965,United Kingdom,1965–present: Republic of Maldives,Malé
Mali,Africa,1960-08-20,full,20 Aug 1960,1960-08-20,full,20 Aug 1960,France,1960–present: Republic of Mali,Bamako
Malta,Europe,1964-09-21,full,21 Sep 1964,1964-09-21,full,21 Sep 1964,United Kingdom,"1974–present: Republic of Malta 1964–1974: State of Malta , a monarchy in personal union with the United Kingdom",Valletta
Marshall Islands,Oceania,1986-10-21,full,21 Oct 1986,1986-10-21,full,21 Oct 1986,United States,1986–present: Republic of the Marshall Islands,Majuro
Mauritania,Africa,1960-11-28,full,28 Nov 1960,1960-11-28,full,28 Nov 1960,France,1960–present: Islamic Republic of Mauritania,Nouakchott
Mauritius,Africa,1968-03-12,full,12 Mar 1968,1968-03-12,full,12 Mar 1968,United Kingdom,"1992–present: Republic of Mauritius 1968–1992: Mauritius , a monarchy in personal union with the United Kingdom",Port Louis
Mexico,The Americas,1810-09-16,full,16 Sep 1810,1864,year,1864,Spain,1867–Present: United Mexican States (a federation ) 1864–1867: Second Mexican Empire (a unitary state ) 1846–1863: Second Federal Republic of Mexico (a federation ) 1835–1846: Centralist Republic of Mexico (a federation ) 1823–1824: Provisional Government of Mexico 1821–1823: First Mexican Empire ( unitary state ),Mexico City
"Micronesia, Federated States of",Oceania,1986-11-03,full,3 Nov 1986,1986-11-03,full,3 Nov 1986,United States,"1986–present: Federated States of Micronesia , a federation",Palikir
Moldova,Europe,1991-08-27,full,27 Aug 1991,1991-08-27,full,27 Aug 1991,Soviet Union,1991–present: Moldova,Chișinău
Monaco,Europe,1861-02-02,full,2 Feb 1861,1945,year,1945,Germany,1911–present: Principality of Monaco,Monaco
Mongolia,Asia,1921-03-13,full,13 Mar 1921,1921-03-13,full,13 Mar 1921,Republic of China,1990-present: Mongolia 1945-1992: Mongolian People's Republic 1924-1945: Mongolian People's Republic 1921-1924: Bogd Khanate of Mongolia,Ulaanbaatar
Montenegro,Europe,2003-02-04,full,4 February 2003,2006-05-21,full,"21 May 2006 ( independence referendum ) June 3, 2006",Yugoslavia,2006–present: Montenegro 2003-2006: In union with Serbia in the State Union of Serbia and Montenegro ( confederation ),Podgorica
Morocco,Africa,1956-04-07,full,7 Apr 1956,1956-04-07,full,7 Apr 1956,France Spain,1956–present: Kingdom of Morocco,Rabat
Mozambique,Africa,1975-06-25,full,25 June 1975,1975-06-25,full,25 June 1975,Portugal,1975–present: Republic of Mozambique,Maputo
Myanmar,Asia,1948-01-04,full,4 Jan 1948,1948-01-04,full,4 Jan 1948,United Kingdom,2008–present: Republic of the Union of Myanmar 1988-2008: Union of Myanmar 1962-1988: Socialist Republic of the Union of Burma 1948-1962: Union of Burma,Naypyidaw
Namibia,Africa,1990-03-21,full,21 Mar 1990,1990-03-21,full,21 Mar 1990,South Africa,1990–present: Republic of Namibia,Windhoek
Nauru,Oceania,1968-01-31,full,31 Jan 1968,1968-01-31,full,31 Jan 1968,Australia New Zealand United Kingdom Trust Territory of Nauru,1968–present: Republic of Nauru,Yaren
Nepal,Asia,1559,year,1559,1559,year,1559,Khasa Kingdom,2008–present: Federal Democratic Republic of Nepal 1768–2008: Kingdom of Nepal 1559–1768: Gorkha Kingdom,Kathmandu
Netherlands,Europe,1813-11-20,full,20 Nov 1813,1945,year,1945,Germany,"1945–present: Kingdom of the Netherlands (reestablished in 1945. Aruba , Curaçao , the Netherlands , and Sint Maarten are the constituent countries of the Kingdom) 1940–1945: Occupied by Nazi Germany establishing as Dutch government-in-exile , a member of the allies during WWII. 1839–1940: Kingdom of the Netherlands 1815–1839: United Kingdom of the Netherlands 1813–1815: Sovereign Principality of the United Netherlands (New State)",Amsterdam
New Zealand,Oceania,1947-11-25,full,25 Nov 1947,1947-11-25,full,25 Nov 1947,United Kingdom,"1947–present: Realm of New Zealand , a monarchy in a personal union with the United Kingdom. ( New Zealand (a sovereign state) has one Antarctic territorial claim (the Ross Dependency ), one dependent territory ( Tokelau ), and two associated states (the Cook Islands and Niue ))",Wellington
Nicaragua,The Americas,1838-11-13,full,13 Nov 1838,1933-01-02,full,2 Jan 1933,United States of America,1898–Present: Republic of Nicaragua 1896–1898: In union with other Central American states in the Greater Republic of Central America ( confederation ) 1838-1896: Republic of Nicaragua,Managua
Niger,Africa,1960-08-07,full,7 Aug 1960,1960-08-07,full,7 Aug 1960,France,1960–present: Republic of the Niger,Niamey
Nigeria,Africa,1960-10-01,full,1 Oct 1960,1960-10-01,full,1 Oct 1960,United Kingdom,"1963–present: Federal Republic of Nigeria , a federation 1960-1963: Nigeria , a federation and monarchy in personal union with the United Kingdom",Abuja
North Macedonia,Europe,1991-09-08,full,8 Sep 1991,1991-09-08,full,8 Sep 1991,Yugoslavia,2019–present: Republic of North Macedonia 1991–2019: / Republic of Macedonia (the former Yugoslav Republic of Macedonia),Skopje
Norway,Europe,872,year,872,1945-05-08,full,8 May 1945,Germany,"1940–present: Kingdom of Norway 1940–1945: Occupied by Germany ( Reichskommissariat ). 1905–1940: Kingdom of Norway ( Haakon VII elected Norwegian king in a referendum in 1905) . 1814–1905: United Kingdoms of Sweden and Norway . A personal union between the Kingdom of Sweden and the Kingdom of Norway. 1537–1814: Denmark-Norway – Kingdom of Norway, in real union with the Kingdom of Denmark , Duchy of Schleswig , and the Duchy of Holstein . 1523–1537: Denmark-Norway – Kingdom of Norway, in personal union with the Kingdom of Denmark , Duchy of Schleswig , and the Duchy of Holstein . 1397–1523: Kingdom of Norway, in personal union with the Kingdom of Sweden and the Kingdom of Denmark . This union was known as the Kalmar Union 872–1397: Kingdom of Norway (According to tradition, Harald Fairhair unified all the small kingdoms into one in 872 after the Battle of Hafrsfjord in Stavanger, thus becoming the first king of a united Norway. In 1163, Norway adopted its current Law of Succession )",Oslo
Oman,Asia,1154,year,1154,1976,year,1976,Dhofar War : United Kingdom Pahlavi Iran,1970–present Oman 1856-1970: Sultanate of Muscat and Oman 1696-1856: Omani Empire 1154-1624: Imamate of Oman,Muscat
Pakistan,Asia,1947-08-14,full,14 Aug 1947,1947-08-14,full,14 Aug 1947,United Kingdom,"1956–present: Islamic Republic of Pakistan , a federation 1947–1956: Pakistan , a federation and monarchy in personal union with the United Kingdom",Islamabad
Palau,Oceania,1994-10-01,full,1 Oct 1994,1994-10-01,full,1 Oct 1994,United States,1994–present: Republic of Palau,Ngerulmud
Palestine,Asia,1988-11-15,full,15 Nov 1988 Sovereignty disputed by Israel,1988-11-15,full,15 Nov 1988,Israel,1988–present: State of Palestine,Ramallah
Panama,The Americas,1903-11-03,full,3 Nov 1903,1990-01-31,full,31 Jan 1990,United States,1990–present: Republic of Panama 1989–1990: American Invasion 1903–1989: Republic of Panama,Panama City
Papua New Guinea,Oceania,1975-09-16,full,16 Sep 1975,1975-09-16,full,16 Sep 1975,Australia,1975–present: Independent State of Papua New Guinea,Port Moresby
Paraguay,The Americas,1811-05-14,full,"14 May 1811 ( de facto ) Nov 25, 1845 (formal declaration of Independence)",1876,year,1876,Empire of Brazil Argentina Uruguay,"1876–present: Republic of Paraguay Occupied 1870–1876 by Brazil, in Triple Alliance with Argentina and Uruguay. 1813–1870: Republic of Paraguay 1811–1813: Province of Paraguay ( de facto independent of Spain, but still de jure part of the Spanish Empire )",Asunción
Peru,The Americas,1821-07-28,full,28 July 1821,1839-08-25,full,25 Aug 1839,North Peru South Peru Río de la Plata Conservative Chile,"1839–Present: Republic of Peru 1836–1839: Divided in North Peru and South Peru , in union with Bolivia in the Peru–Bolivian Confederation 1822–1836: Republic of Peru 1821-1822: Regime of Free Departments",Lima
Philippines,Asia,1946-07-04,full,4 July 1946,1946-07-04,full,4 July 1946,United States,1946–present: Republic of the Philippines,Manila
Poland,Europe,1918-11-11,full,11 November 1918,1945,year,1945,Germany Soviet Union,"1989–present: Republic of Poland 1947–1989: Polish People's Republic 1945–1947: Provisional Government of National Unity 1939–1990: Government of the Republic of Poland in exile 1939–1945: Occupied by Nazi Germany and the Soviet Union during WWII making the Polish Underground State as an emergency state, and later in 1944 Poland was proposed to make a Government . 1918–1939: Republic of Poland",Warsaw
Portugal,Europe,1139-07-25,full,25 July 1139,1808-08-30,full,30 Aug 1808,France,"1975–present: Portuguese Republic (Third) 1974–1975: National Salvation Junta 1933–1974: Second Portuguese Republic ( Estado Novo /New State) 1926–1933: Second Portuguese Republic (National Dictatorship) 1910–1926: First Portuguese Republic 1834–1910: Kingdom of Portugal and the Algarves 1825-1834: Kingdom of Portugal and the Algarves 1815-1825: United Kingdom of Portugal, Brazil and the Algarves (Brazil declared its independence from Portugal in 1822, but Portugal only recognized it in 1825) 1777–1834: Kingdom of Portugal and the Algarves (Napoleonic era) 1640–1777: Kingdom of Portugal and the Algarves 1580–1640: Kingdom of Portugal and the Algarves (and its colonial empire) in a personal union with the states of the Hispanic Monarchy , this union was known as the Iberian Union 1415–1580: Kingdom of Portugal and the Algarves 1139–1415: Kingdom of Portugal (Independent after the Battle of Ourique , Although it was not until 4 years later in 1143, when independence was recognized ).",Lisbon
Qatar,Asia,1971-09-03,full,3 Sep 1971,1971-09-03,full,3 Sep 1971,United Kingdom,1971–present: State of Qatar,Doha
Romania,Europe,1877-05-10,full,10 May 1877,1877-05-10,full,10 May 1877,Ottoman Empire,1989–present: Romania 1965-1989: Socialist Republic of Romania 1947-1965: Romanian People's Republic 1881-1947: Kingdom of Romania 1878-1881: Principality of Romania,Bucharest
Russia,Asia/Europe,1480,year,1480,1991-12-26,full,26 Dec 1991 ( de facto ) 12 Dec 1993 ( de jure ),Soviet Union,"1993–present: Russian Federation (a federation ) 1991–1993: Russian Federation (a federation ) (with the 1978 constitution . The United Nations recognizes Russia as the successor state of the USSR.) 1922–1991: Union of Soviet Socialist Republics (a federation ) 1918–1922: Russian Soviet Federative Socialist Republic (a federation ) 19 January 1918: Russian Democratic Federative Republic (a federation ) 1917–1918: Russian Soviet Federative Socialist Republic (a federation ) 14 Sep – 7 Nov 1917: Russian Republic (a federation ) 1721–1917: Russian Empire (a unitary state ) 1547–1721: Tsardom of Russia 1480–1547: Grand Duchy of Moscow , sovereign and independent state",Moscow
Rwanda,Africa,1962-07-01,full,1 July 1962,1962-07-01,full,1 July 1962,Belgium,1962–present: Republic of Rwanda,Kigali
Saint Kitts and Nevis,The Americas,1983-09-19,full,19 Sep 1983,1983-09-19,full,19 Sep 1983,United Kingdom,"1983–present: Federation of Saint Kitts and Nevis , a federation and monarchy in personal union with the United Kingdom",Basseterre
Saint Lucia,The Americas,1979-02-22,full,22 Feb 1979,1979-02-22,full,22 Feb 1979,United Kingdom,"1979–present: Saint Lucia , a monarchy in personal union with the United Kingdom",Castries
Saint Vincent and the Grenadines,The Americas,1979-10-27,full,27 Oct 1979,1979-10-27,full,27 Oct 1979,United Kingdom,"1979–present: Saint Vincent and the Grenadines , a monarchy in personal union with the United Kingdom",Kingstown
Samoa,Oceania,1962-01-01,full,1 Jan 1962,1962-01-01,full,1 Jan 1962,New Zealand,1962–present: Independent State of Samoa,Apia
San Marino,Europe,1291,year,1291,1944-09-21,full,21 Sep 1944,World War II Allies,"1944: Brief occupation by Germany, then Allies during Battle of San Marino 1739: Brief occupation by the Papal States 1503: Brief occupation by Rimini 1243: The people of San Marino established the positions of Captains Regent ( Capitani Reggenti ) as a joint heads of state Before 1243: Part of the Roman Empire [ citation needed ] 301: Traditionally said to have been founded by Saint Marinus",San Marino
São Tomé and Príncipe,Africa,1975-07-12,full,12 July 1975,1975-07-12,full,12 July 1975,Portugal,1975-1991: Democratic Republic of São Tomé and Príncipe,São Tomé
