country,continent,sovereignty_date,sovereignty_date_precision,sovereignty_date_raw,last_subordination_date,last_subordination_date_precision,last_subordination_date_raw,previous_power,notes,capital
Tonga,Oceania,1970-06-04,full,4 June 1970,1970-06-04,full,4 June 1970,United Kingdom,1970–present: Kingdom of Tonga,Nukuʻalofa
Trinidad and Tobago,The Americas,1962-08-31,full,31 Aug 1962,1962-08-31,full,31 Aug 1962,United Kingdom,"1976–present: Republic of Trinidad and Tobago 1962-1976: Trinidad and Tobago , a monarchy in personal union with the United Kingdom",Port of Spain
Tunisia,Africa,1956-03-20,full,20 Mar 1956,1956-03-20,full,20 Mar 1956,France,1957–present: Republic of Tunisia 1956-1957: Kingdom of Tunisia,Tunis
Turkey,Asia/Europe,1299,year,1299,1923,year,1923,Allies of World War I : Greece Italy United Kingdom France Armenia,"1923–present: Republic of Turkey 1920–1923: Ankara Government , provisional government founded in Ankara in opposition to the Allied occupation. 1920–1922: Ottoman Empire , occupied by Greece , Italy , France , United Kingdom and Armenia following World War I ( Treaty of Sèvres ) 1299–1920: Ottoman Empire",Ankara
Turkmenistan,Asia,1991-10-27,full,27 Oct 1991,1991-10-27,full,27 Oct 1991,Soviet Union,1991–present: Turkmenistan,Ashgabat
Tuvalu,Oceania,1978-10-01,full,1 Oct 1978,1978-10-01,full,1 Oct 1978,United Kingdom,"1978–present: Tuvalu , a monarchy in personal union with the United Kingdom",Funafuti
Uganda,Africa,1962-10-09,full,9 Oct 1962,1962-10-09,full,9 Oct 1962,United Kingdom,"1963–present: Republic of Uganda 1962–1963: Uganda , a monarchy in personal union with the United Kingdom",Kampala
Ukraine,Europe,1991-08-24,full,24 August 1991,1991-08-24,full,24 Aug 1991,Soviet Union,1991–present: Ukraine,Kyiv
United Arab Emirates,Asia,1971-12-02,full,2 Dec 1971,1971-12-02,full,2 Dec 1971,United Kingdom,1971–present: United Arab Emirates,Abu Dhabi
United Kingdom,Europe,1801-01-01,full,1 Jan 1801,1801-01-01,full,1 Jan 1801,Kingdom of Great Britain Kingdom of Ireland,1922–present: United Kingdom of Great Britain and Northern Ireland 1801–1922: United Kingdom of Great Britain and Ireland (New State),London
United States,The Americas,1776-07-04,full,4 July 1776,1781-10-19,full,19 Oct 1781,Great Britain,"1776–present: United States of America , a federation","Washington, D.C."
Uruguay,The Americas,1828-08-27,full,27 Aug 1828,1828-08-27,full,27 Aug 1828,Empire of Brazil,1830–present: Oriental Republic of Uruguay 1828–1830: Oriental State of Uruguay,Montevideo
Uzbekistan,Asia,1991-09-01,full,1 Sep 1991,1991-09-01,full,1 Sep 1991,Soviet Union,1991–present: Republic of Uzbekistan,Tashkent
Vanuatu,Oceania,1980-07-30,full,30 July 1980,1980-07-30,full,30 July 1980,United Kingdom France,1980–present: Republic of Vanuatu,Port Vila
Vatican City,Europe,1929-02-11,full,11 Feb 1929,1929-02-11,full,11 Feb 1929,Italy,1929–present: Vatican City State,Vatican City
Venezuela,The Americas,1830-01-13,full,13 Jan 1830,1830-01-13,full,13 Jan 1830,Gran Colombia,"1999–Present Bolivarian Republic of Venezuela (a federal state , comprising twenty-three states, a capital district and the Federal Dependencies which consist in several islands in the Caribbean sea) 1953–1999: Republic of Venezuela (a federal state ) 1864–1953: United States of Venezuela (a federal state ) 1830–1864: State of Venezuela (a unitary state )",Caracas
Vietnam,Asia,1976-07-02,full,2 July 1976,1976-07-02,full,2 July 1976,North Vietnam South Vietnam,1976–present: Socialist Republic of Vietnam (New State),Hanoi
Yemen,Asia,1990-05-22,full,22 May 1990,1990-05-22,full,22 May 1990,North Yemen South Yemen,1990–present: Republic of Yemen (New State),"Aden ( de facto , temporary) and Sanaa ( de jure )"
Zambia,Africa,1964-10-24,full,24 Oct 1964,1964-10-24,full,24 Oct 1964,United Kingdom,1964–present: Republic of Zambia,Lusaka
Zimbabwe,Africa,1965-11-11,full,11 Nov 1965,1980-04-18,full,18 Apr 1980,United Kingdom,"1980–present: Republic of Zimbabwe 1979-1980: Zimbabwe Rhodesia 1970-1979: Republic of Rhodesia 1965-1970: Rhodesia , a monarchy in personal union with the United Kingdom",Harare
